Chars,Info
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.16398569
Longitud:,-86.82321768
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 76,
id de establecimiento,6386752
Nombre de la unidad económica:,HOTEL MARGARITAS CANCUN
Razón social:,PENINSULAR DE HOTELES SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,51 a 100 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,AVENIDA CARLOS NADER
Número exterior o km:,0
Número o letra interior:,0
Nombre del asentamiento humano:,1
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,CONTADOR2@GPHOTELES.COM
Sitio en Internet:,WWW.HOTELMARGARITASCANCUN.COM.MX
Tipo de unidad económica:,Fijo
Latitud:,21.16833291
Longitud:,-86.82392515
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 77,
id de establecimiento,6383880
Nombre de la unidad económica:,HOTEL PLAZA KOKAI CANCÚN
Razón social:,INMOBILIARIA KOKAI CANCUN SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,UXMAL
Número exterior o km:,26
Número o letra interior:,
Nombre del asentamiento humano:,2A MZ 3
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,CONTABILIDADH@KOKAI.COM.MX
Sitio en Internet:,WWW.KOKAI.COM
Tipo de unidad económica:,Fijo
Latitud:,21.16398371
Longitud:,-86.82306646
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 78,
id de establecimiento,8856135
Nombre de la unidad económica:,FARALLON INN
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,FARALLON
Número exterior o km:,13
Número o letra interior:,0
Nombre del asentamiento humano:,CANCUN
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.14816761
Longitud:,-86.82691801
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 79,
id de establecimiento,6384279
Nombre de la unidad económica:,SUITES AMBIANCE
Razón social:,INMOBILIARA CAYRE SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,51 a 100 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,TULUM
Número exterior o km:,227
Número o letra interior:,
Nombre del asentamiento humano:,20
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,EINDO@AMBIANCECANCUN.COM
Sitio en Internet:,WWW.AMBIANCESUITES.COM
Tipo de unidad económica:,Fijo
Latitud:,21.15118398
Longitud:,-86.8251762
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 80,
id de establecimiento,6273645
Nombre de la unidad económica:,LQ HOTEL LA QUINTA
Razón social:,KEYCANCUN SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,31 a 50 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,TULUM
Número exterior o km:,10
Número o letra interior:,0
Nombre del asentamiento humano:,4
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,LQ6320FOM4@LAQUINTA.COM
Sitio en Internet:,WWW.LQ.COM
Tipo de unidad económica:,Fijo
Latitud:,21.15210817
Longitud:,-86.82470728
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 81,
id de establecimiento,3628157
Nombre de la unidad económica:,ASOCIACIÓN DE HOTELES DE CANCÚN Y PUERTO MORELOS
Razón social:,ASOCIACIÓN DE HOTELES DE QUINTANA ROO AC
Nombre de la clase de actividad:,"Asociaciones, organizaciones y cámaras de productores, comerciantes y prestadores de servicios"
Personal ocupado (estrato):,6 a 10 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,JOSE GARCIA DE LA TORRE
Número exterior o km:,6
Número o letra interior:,0
Nombre del asentamiento humano:,1
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,WWW.RESORTSCANCUN.COM
Tipo de unidad económica:,Fijo
Latitud:,21.16863471
Longitud:,-86.82350684
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 82,
id de establecimiento,6385743
Nombre de la unidad económica:,OFICINA ADMINISTRATIVA DE OPERADORA MAYAPAN
Razón social:,OPERADORA MAYAPAN SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,ROBALO
Número exterior o km:,30
Número o letra interior:,
Nombre del asentamiento humano:,3
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,JOAQUINHUCHIM@MAYALAND.COM
Sitio en Internet:,WWW.MAYALAND.COM.MX
Tipo de unidad económica:,Fijo
Latitud:,21.15735
Longitud:,-86.82295
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 83,
id de establecimiento,6416586
Nombre de la unidad económica:,TESORERIA DEL HOTEL MAYALAND
Razón social:,
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,RÓBALO
Número exterior o km:,30
Número o letra interior:,
Nombre del asentamiento humano:,3
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,HENRYLOZANO@MAYALAND.COM
Sitio en Internet:,WWW.MAYALAND.COM.MX
Tipo de unidad económica:,Fijo
Latitud:,21.15716653
Longitud:,-86.82282387
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 84,
id de establecimiento,3651835
Nombre de la unidad económica:,HOTEL POSADA CARIBE
Razón social:,TANIA FABIOLA QUINTAL PEREZ
Nombre de la clase de actividad:,Pensiones y casas de huéspedes
Personal ocupado (estrato):,6 a 10 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,LOPEZ PORTILLO
Número exterior o km:,16
Número o letra interior:,
Nombre del asentamiento humano:,SUPERMANZANA 101
Código postal:,77519
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.14958565
Longitud:,-86.87676881
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 85,
id de establecimiento,6384058
Nombre de la unidad económica:,HOTEL MARY TERE
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,6 a 10 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,7
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,64
Código postal:,77524
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17327483
Longitud:,-86.82492143
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 86,
id de establecimiento,6384059
Nombre de la unidad económica:,CUARTOS EN RENTA SIN NOMBRE
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,7
Número exterior o km:,39
Número o letra interior:,
Nombre del asentamiento humano:,64
Código postal:,77524
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17320951
Longitud:,-86.82488235
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 87,
id de establecimiento,6386800
Nombre de la unidad económica:,IXCHEL BEACH HOTEL OFICINA CANCUN
Razón social:,OPERADORA IXCHEL SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,6 a 10 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,NICHUPTÉ
Número exterior o km:,22
Número o letra interior:,0
Nombre del asentamiento humano:,16
Código postal:,77505
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,RESERVATION@IXCHELBEACHHOTEL.COM
Sitio en Internet:,WWW.IXCHELBEACHHOTEL.COM
Tipo de unidad económica:,Fijo
Latitud:,21.14146614
Longitud:,-86.83162213
Centro comercial:,PLAZA NICHUPTE
Tipo de centro comercial:,
Número de local:,30
Establecimiento 88,
id de establecimiento,6273453
Nombre de la unidad económica:,HOTEL LOS CUATES DE CANCUN
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,LÓPEZ PORTILLO
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,64
Código postal:,77524
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17465304
Longitud:,-86.82530341
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 89,
id de establecimiento,8645037
Nombre de la unidad económica:,HOTEL BLUE COCONUT
Razón social:,
Nombre de la clase de actividad:,Pensiones y casas de huéspedes
Personal ocupado (estrato):,6 a 10 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,16 ORIENTE
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,SUPMZ 65
Código postal:,77524
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17559444
Longitud:,-86.82565893
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 90,
id de establecimiento,6384037
Nombre de la unidad económica:,HOTEL JARDÍN
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,6 a 10 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,4
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,64
Código postal:,77524
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.1725561
Longitud:,-86.82390894
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 91,
id de establecimiento,6273457
Nombre de la unidad económica:,HOTEL PLAZA TICUCH
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,6 a 10 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,18
Número exterior o km:,1
Número o letra interior:,0
Nombre del asentamiento humano:,65 MZ28 L25 Y 26
Código postal:,77524
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,DELFINAMELIDATICUCH@GMAIL.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17671404
Longitud:,-86.82558263
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 92,
id de establecimiento,3654630
Nombre de la unidad económica:,HOTEL SHOPS
Razón social:,OPERADORA HOTEL SHOPS S DE RL DE CV
Nombre de la clase de actividad:,Comercio al por menor de artículos de joyería y relojes
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,BONAMPAK
Número exterior o km:,7
Número o letra interior:,
Nombre del asentamiento humano:,PUERTO CANCUN
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,9988839684
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.16138076
Longitud:,-86.8205886
Centro comercial:,BONAMPAK
Tipo de centro comercial:,CENTRO Y PLAZA COMERCIAL
Número de local:,L
Establecimiento 93,
id de establecimiento,8331520
Nombre de la unidad económica:,9 JOYERIA HOTELSHOPS
Razón social:,PELTUR S DE RL DE CV
Nombre de la clase de actividad:,Comercio al por menor de artículos de joyería y relojes
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,PROLONGACION
Nombre de la vialidad:,5TA AVENIDA
Número exterior o km:,0
Número o letra interior:,
Nombre del asentamiento humano:,HOTEL PRINCESS YUCATAN
Código postal:,77710
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,IMPUESTOS@HOTEL-SHOPS.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.16188081
Longitud:,-86.82054573
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 94,
id de establecimiento,8673711
Nombre de la unidad económica:,HOTEL MEXICASA CANCUN
Razón social:,HOTEL MEXICASA CANCUN
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,6 a 10 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,TIERRA
Número exterior o km:,220
Número o letra interior:,
Nombre del asentamiento humano:,SUPMZ 4
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,9982513219
Correo electrónico:,MEXICASACANCUN@GMAIL.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.15186486
Longitud:,-86.8219526
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 95,
id de establecimiento,6273516
Nombre de la unidad económica:,HOTEL OLIMPO
Razón social:,GUACAMAYAS AMARILLAS SA DE CV
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,BONAMPAK
Número exterior o km:,221
Número o letra interior:,
Nombre del asentamiento humano:,MANZANA 20
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.15208795
Longitud:,-86.82172662
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 96,
id de establecimiento,6383831
Nombre de la unidad económica:,HOTEL BONAMPAK
Razón social:,HOTEL CAOBA BONAMPAK SA
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,31 a 50 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,BONAMPAK SM4 MZ9 LT 4851
Número exterior o km:,225
Número o letra interior:,
Nombre del asentamiento humano:,4
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,MARYMAR14179@HOTMAIL.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.15147716
Longitud:,-86.82176631
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 97,
id de establecimiento,6273452
Nombre de la unidad económica:,HOTEL AZTECA
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,6 a 10 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,LOPEZ PORTILLO
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,SUPERMANZANA 64
Código postal:,77524
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,NOMINA-AZTECA@HOTMAIL.COM
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17565874
Longitud:,-86.82330187
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 98,
id de establecimiento,6383753
Nombre de la unidad económica:,HOTEL HACIENDA DE CASTILLA
Razón social:,INMOBILIARIA ONGAY REYES SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,CALLE 17
Número exterior o km:,1
Número o letra interior:,0
Nombre del asentamiento humano:,64 MZ 23 L9-14
Código postal:,77524
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,INFO@HOTELHACIENDADECASTILLA.COM
Sitio en Internet:,WWW.HOTELHACIENDADECASTILLA.COM
Tipo de unidad económica:,Fijo
Latitud:,21.17409349
Longitud:,-86.82228263
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 99,
id de establecimiento,6273456
Nombre de la unidad económica:,HOTEL CAMPESTRE LAS PALMAS
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,OTRO (ESPECIFIQUE)
Nombre de la vialidad:,10
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,64
Código postal:,77524
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17493653
Longitud:,-86.82264752
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 100,
id de establecimiento,6273682
Nombre de la unidad económica:,LEADING DESTINATIONS
Razón social:,HOTELES CLUB TULUM SA DE CV
Nombre de la clase de actividad:,Agencias de viajes
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,RODRIGO GÓMEZ
Número exterior o km:,22
Número o letra interior:,12
Nombre del asentamiento humano:,13
Código postal:,77504
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,MTUZ@LEADING-DESTINATIONS.COM
Sitio en Internet:,WWW.LEADING-DESTINATIONS.COM
Tipo de unidad económica:,Fijo
Latitud:,21.13769579
Longitud:,-86.83247018
Centro comercial:,
Tipo de centro comercial:,
Número de local:,12
Establecimiento 101,
id de establecimiento,6311016
Nombre de la unidad económica:,HOTEL IBIS CANCÚN CENTRO
Razón social:,ACCOR MEXICO HOTELS SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,31 a 50 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,NICHUPTÉ
Número exterior o km:,0
Número o letra interior:,0
Nombre del asentamiento humano:,CENTRO
Código postal:,77504
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.14391498
Longitud:,-86.82551113
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 102,
id de establecimiento,8763849
Nombre de la unidad económica:,HOTEL DNA
Razón social:,SELENE NÚÑEZ
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,PRIVADA
Nombre de la vialidad:,NINGUNO
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,SUPERMANZANA 64
Código postal:,77524
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17543002
Longitud:,-86.82256706
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 103,
id de establecimiento,9016307
Nombre de la unidad económica:,TELE HOTEL
Razón social:,
Nombre de la clase de actividad:,Reparación y mantenimiento de equipo electrónico de uso doméstico
Personal ocupado (estrato):,6 a 10 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,LOPEZ PORTILLO
Número exterior o km:,5
Número o letra interior:,
Nombre del asentamiento humano:,SUPERMANZANA 102
Código postal:,77538
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,9982271768
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.14807068
Longitud:,-86.87982915
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 104,
id de establecimiento,6384973
Nombre de la unidad económica:,TELE HOTEL
Razón social:,TELE HOTEL SA DE CV
Nombre de la clase de actividad:,Alquiler de maquinaria y equipo comercial y de servicios
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,LÓPEZ PORTILLO
Número exterior o km:,15
Número o letra interior:,0
Nombre del asentamiento humano:,102
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,FSUAREZ@TELEHOTEL.COM
Sitio en Internet:,WWW.TELEHOTEL.COM.MX
Tipo de unidad económica:,Fijo
Latitud:,21.14787756
Longitud:,-86.88020545
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 105,
id de establecimiento,6421493
Nombre de la unidad económica:,ATB COMMERCE
Razón social:,ADMINISTRADORA TURISTICA BAGUIRA SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,OTRO (ESPECIFIQUE)
Nombre de la vialidad:,NINGUNO
Número exterior o km:,
Número o letra interior:,96
Nombre del asentamiento humano:,28
Código postal:,77536
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.13167281
Longitud:,-86.84413
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 106,
id de establecimiento,8024687
Nombre de la unidad económica:,HOTEL ROSA ELENA
Razón social:,
Nombre de la clase de actividad:,Pensiones y casas de huéspedes
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,FRANCISCO I. MADERO
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,REGION 68
Código postal:,77524
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17972965
Longitud:,-86.82361112
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 107,
id de establecimiento,9018834
Nombre de la unidad económica:,HOTEL KRYSTAL URBAN
Razón social:,INMOBILIARIA HOTELERA CANCUN URBAN S DE RL DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,6 a 10 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,SAYIL SN PLAZA KRYSTAL LOTE4 C07 SUPERMANZANA 4A
Número exterior o km:,0
Número o letra interior:,
Nombre del asentamiento humano:,SUPMZ 4-A
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,WWW.KRYSTAL-HOTELS.COM
Tipo de unidad económica:,Fijo
Latitud:,21.14966063
Longitud:,-86.82007764
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 108,
id de establecimiento,6853344
Nombre de la unidad económica:,PAYLESS CAR RENTAL HOTEL KRYSTAL URBAN
Razón social:,LJ VEGAS CAR RENTAL SA DE CV
Nombre de la clase de actividad:,Alquiler de automóviles sin chofer
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,SAYIL
Número exterior o km:,1
Número o letra interior:,0
Nombre del asentamiento humano:,4A
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,CONTRALORIA@PAYLESSCARRENTAL.COM.MX
Sitio en Internet:,WWW.PAYLESSCARRENTAL.COM.MX
Tipo de unidad económica:,Fijo
Latitud:,21.14965587
Longitud:,-86.82005309
Centro comercial:,KRYSTAL URBAN
Tipo de centro comercial:,
Número de local:,4C
Establecimiento 109,
id de establecimiento,8486621
Nombre de la unidad económica:,ELIPARK HOTEL KRYSTAL CANCÚN
Razón social:,OPERADORA RICKY SA DE CV
Nombre de la clase de actividad:,Estacionamientos y pensiones para vehículos automotores
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,SAYIL
Número exterior o km:,4
Número o letra interior:,0
Nombre del asentamiento humano:,HOTEL KRYSTAL A UN COSTADO DE PLAZA DE TOROS
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,GTEADMON@ELIPARK.COM
Sitio en Internet:,WWW.ELIPARK.COM
Tipo de unidad económica:,Fijo
Latitud:,21.14963731
Longitud:,-86.81995992
Centro comercial:,A UN COSTADO DE PLAZA DE TOROS
Tipo de centro comercial:,
Número de local:,7
Establecimiento 110,
id de establecimiento,6385034
Nombre de la unidad económica:,FIESTA INN MALECON LAS AMERICAS
Razón social:,GRUPO POSADAS SAB DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,51 a 100 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,BONAMPAK
Número exterior o km:,0
Número o letra interior:,0
Nombre del asentamiento humano:,6A
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,
Correo electrónico:,
Sitio en Internet:,WWW.FIESTAMERICANA.COM
Tipo de unidad económica:,Fijo
Latitud:,21.14647623
Longitud:,-86.82128885
Centro comercial:,PLAZA MALECON LAS AMERICAS
Tipo de centro comercial:,
Número de local:,SN
Establecimiento 111,
id de establecimiento,6384062
Nombre de la unidad económica:,HOTEL HACIENDA MAYA
Razón social:,
Nombre de la clase de actividad:,Hoteles sin otros servicios integrados
Personal ocupado (estrato):,0 a 5 personas
Tipo de vialidad:,CALLE
Nombre de la vialidad:,25 NORTE
Número exterior o km:,
Número o letra interior:,
Nombre del asentamiento humano:,28
Código postal:,77500
"Entidad,Municipio,Localidad:","CANCÚN, Benito Juárez, QUINTANA ROO"
Número de teléfono:,9988800009
Correo electrónico:,
Sitio en Internet:,
Tipo de unidad económica:,Fijo
Latitud:,21.17761382
Longitud:,-86.82150828
Centro comercial:,
Tipo de centro comercial:,
Número de local:,
Establecimiento 112,
id de establecimiento,6878485
Nombre de la unidad económica:,CITY EXPRESS CANCUN
Razón social:,PROMOTORA PLAZA SOL SA DE CV
Nombre de la clase de actividad:,Hoteles con otros servicios integrados
Personal ocupado (estrato):,11 a 30 personas
Tipo de vialidad:,AVENIDA
Nombre de la vialidad:,NICHUPTÉ
Número exterior o km:,0
Número o letra interior:,0
